Index,Mean_Daily_Return,Daily_Volatility,Annualized_Volatility,Maximum_Drawdown_%
NIFTY 50,0.0531,1.4294,22.6906,-59.86
NIFTY Auto,0.0671,1.5279,24.2542,-62.38
NIFTY Bank,0.082,1.8642,29.5939,-68.78
NIFTY Energy,0.0743,1.6032,25.4502,-60.47
NIFTY FMCG,0.0664,1.3999,22.2222,-48.82
NIFTY IT,0.1106,2.1598,34.2856,-65.66
NIFTY Metal,0.0324,1.8201,28.8928,-64.33
NIFTY Midcap 100,0.0714,1.4207,22.5531,-69.58
NIFTY Next 50,0.0723,1.6619,26.3812,-79.42
NIFTY Pharma,0.0558,1.2884,20.4526,-53.49
